Mod:Item:MetaData, Localized Name
DraconicEvolution:earth, Земля
DraconicEvolution:draconium:0, Дракониевый блок
DraconicEvolution:draconium:1, Камень Воскрешения
DraconicEvolution:draconium:2, Заряженный дракониевый блок
DraconicEvolution:invisibleMultiblock, Энергетическое ядро
DraconicEvolution:energyPylon, Энергетический пилон
DraconicEvolution:placedItem, Размещенный предмет
DraconicEvolution:safetyFlame, Безопасное пламя
DraconicEvolution:cKeyStone:0, Творческий замок
DraconicEvolution:cKeyStone:1, Творческий замок
DraconicEvolution:cKeyStone:2, Творческий замок
DraconicEvolution:cKeyStone:3, Творческий замок
DraconicEvolution:dissEnchanter, Стол снятия зачарований
DraconicEvolution:teleporterStand, Пьедестал телепортации
DraconicEvolution:draconiumChest, Дракониевый сундук
DraconicEvolution:draconicBlock, Пробуждённый дракониевый блок
DraconicEvolution:energyCrystal:0, Энергетическое реле
DraconicEvolution:energyCrystal:1, Улучшенное энергетическое реле
DraconicEvolution:energyCrystal:2, Энергетический передатчик
DraconicEvolution:energyCrystal:3, Улучшенный энергетический передатчик
DraconicEvolution:energyCrystal:4, Беспроводной энергетический передатчик
DraconicEvolution:energyCrystal:5, Улучшенный беспроводной энергетический передатчик
DraconicEvolution:infusedObsidian, Заряженный обсидиан
DraconicEvolution:dislocatorReceptacle, Телепортационный приёмник
DraconicEvolution:portal, Портал
DraconicEvolution:reactorCore, Ядро дракониевого реактора
DraconicEvolution:flowGate:0, Энергетический ограничитель
DraconicEvolution:flowGate:6, Жидкостный ограничитель
DraconicEvolution:reactorStabilizer, Стабилизатор реактора
DraconicEvolution:reactorEnergyInjector, Энергетический инжектор реактора
DraconicEvolution:chaosCrystal, Кристалл Хаоса
DraconicEvolution:upgradeModifier, Модификационный стол
DraconicEvolution:dislocatorInhibitor, Блокиратор магнита
DraconicEvolution:longRangeDislocator:1, Телепортер администратора
DraconicEvolution:chaosShardAtmos, Осколок хаоса
wizardry:arcane_workbench, Чародейский верстак
wizardry:crystal_ore, Руда магического кристалла
wizardry:petrified_stone, Окаменевший камень
wizardry:ice_statue, Ледяная статуя
wizardry:magic_light, tile.magicLight.name
wizardry:crystal_flower, Кристальный цветок
wizardry:snare, Ловушка
wizardry:transportation_stone, Камень перемещения
wizardry:spectral_block, Спектральный блок
wizardry:crystal_block, Блок магического кристалла
wizardry:meteor, tile.null.name
wizardry:vanishing_cobweb, tile.vanishingCobweb.name
eplus:tile.advancedEnchantmentTable, Advanced Enchantment Table
Forestry:core:0, Анализатор
Forestry:core:1, Секретер
Forestry:soil:0, Гумус
Forestry:soil:1, Болотная земля
Forestry:resources:0, Апатитовая руда
Forestry:resources:1, Медная руда
Forestry:resources:2, Оловянная руда
Forestry:resourceStorage:0, Апатитовый блок
Forestry:resourceStorage:1, Медный блок
Forestry:resourceStorage:2, Оловянный блок
Forestry:resourceStorage:3, Бронзовый блок
Forestry:fluid.bioethanol, Этанол
Forestry:fluid.biomass, Биомасса
Forestry:fluid.glass, Жидкое стекло
Forestry:fluid.honey, Мёд
Forestry:fluid.ice, Молотый лёд
Forestry:fluid.juice, Фруктовый сок
Forestry:fluid.milk, Молоко
Forestry:fluid.seedoil, Растительное масло
Forestry:fluid.short.mead, Питный мёд
Forestry:fluid.mead, Медовуха
Forestry:apiculture:0, Пасека
Forestry:apiculture:2, Пчелиный домик
Forestry:apicultureChest:0, Сундук пчеловода
Forestry:beehives:1, Лесной улей
Forestry:beehives:2, Луговой улей
Forestry:beehives:3, Пустынный улей
Forestry:beehives:4, Тропический улей
Forestry:beehives:6, Снежный улей
Forestry:beehives:7, Болотный улей
Forestry:candle:0, Тёмная свеча
Forestry:stump:0, Потухшая свеча
Forestry:alveary:0, Пчелиный улей
Forestry:alveary:2, Роевня
Forestry:alveary:3, Вентилятор улья
Forestry:alveary:4, Обогреватель улья
Forestry:alveary:5, Кондиционер улья
Forestry:alveary:6, Стабилизатор улья
Forestry:alveary:7, Сито улья
Forestry:logs:0, Древесина лиственницы
Forestry:logs:1, Древесина тикового дерева
Forestry:logs:2, Древесина акации
Forestry:logs:3, Древесина липы
Forestry:logs:4, Древесина каштана
Forestry:logs:5, Древесина дерева Венге
Forestry:logs:6, Древесина баобаба
Forestry:logs:7, Древесина секвойи
Forestry:logs:8, Древесина хлопкового дерева
Forestry:logs:9, Древесина мирта
Forestry:logs:10, Древесина красного дерева
Forestry:logs:11, Древесина бальзы
Forestry:logs:12, Древесина ивы
Forestry:logs:13, Древесина орехового дерева
Forestry:logs:14, Древесина гринхарта
Forestry:logs:15, Древесина вишнёвого дерева
Forestry:logs:16, Древесина гибискуса
Forestry:logs:17, Древесина тополя
Forestry:logs:18, Древесина пальмы
Forestry:logs:19, Древесина дынного дерева
Forestry:logs:20, Древесина сосны
Forestry:logs:21, Древесина сливового дерева
Forestry:logs:22, Древесина клёна
Forestry:logs:23, Древесина цитрусового дерева
Forestry:logs:24, Древесина гигантской секвойи
Forestry:logs:25, Древесина муравьиного дерева
Forestry:logs:26, Древесина падука
Forestry:logs:27, Древесина кокоболо
Forestry:logs:28, Древесина зебрано
Forestry:planks:0, Доски из лиственницы
Forestry:planks:1, Доски из тикового дерева
Forestry:planks:2, Доски из акации
Forestry:planks:3, Доски из липы
Forestry:planks:4, Доски из каштана
Forestry:planks:5, Доски из дерева Венге
Forestry:planks:6, Доски из баобаба
Forestry:planks:7, Доски из секвойи
Forestry:planks:8, Доски из хлопкового дерева
Forestry:planks:9, Доски из мирта
Forestry:planks:10, Доски из красного дерева
Forestry:planks:11, Доски из бальзы
Forestry:planks:12, Доски из ивы
Forestry:planks:13, Доски из орехового дерева
Forestry:planks:14, Доски из гринхарта
Forestry:planks:15, Доски из вишнёвого дерева
Forestry:planks:16, Доски из гибискуса
Forestry:planks:17, Доски из тополя
Forestry:planks:18, Доски из пальмы
Forestry:planks:19, Доски из дынного дерева
Forestry:planks:20, Доски из сосны
Forestry:planks:21, Доски из сливового дерева
Forestry:planks:22, Доски из клёна
Forestry:planks:23, Доски из цитрусового дерева
Forestry:planks:24, Доски из гигантской секвойи
Forestry:planks:25, Доски из муравьиного дерева
Forestry:planks:26, Доски из падука
Forestry:planks:27, Доски из кокоболо
Forestry:planks:28, Доски из зебрано
Forestry:slabs:0, Плита из лиственницы
Forestry:slabs:1, Плита из тикового дерева
Forestry:slabs:2, Плита из акации
Forestry:slabs:3, Плита из липы
Forestry:slabs:4, Плита из каштана
Forestry:slabs:5, Плита из дерева Венге
Forestry:slabs:6, Плита из баобаба
Forestry:slabs:7, Плита из секвойи
Forestry:slabs:8, Плита из хлопкового дерева
Forestry:slabs:9, Плита из мирта
Forestry:slabs:10, Плита из красного дерева
Forestry:slabs:11, Плита из бальзы
Forestry:slabs:12, Плита из ивы
Forestry:slabs:13, Плита из орехового дерева
Forestry:slabs:14, Плита из гринхарта
Forestry:slabs:15, Плита из вишнёвого дерева
Forestry:slabs:16, Плита из гибискуса
Forestry:slabs:17, Плита из тополя
Forestry:slabs:18, Плита из пальмы
Forestry:slabs:19, Плита из дынного дерева
Forestry:slabs:20, Плита из сосны
Forestry:slabs:21, Плита из сливового дерева
Forestry:slabs:22, Плита из клёна
Forestry:slabs:23, Плита из цитрусового дерева
Forestry:slabs:24, Плита из гигантской секвойи
Forestry:slabs:25, Плита из муравьиного дерева
Forestry:slabs:26, Плита из падука
Forestry:slabs:27, Плита из кокоболо
Forestry:slabs:28, Плита из зебрано
Forestry:fences:0, Забор из лиственницы
Forestry:fences:1, Забор из тикового дерева
Forestry:fences:2, Забор из акации
Forestry:fences:3, Забор из липы
Forestry:fences:4, Забор из каштана
Forestry:fences:5, Забор из дерева Венге
Forestry:fences:6, Забор из баобаба
Forestry:fences:7, Забор из секвойи
Forestry:fences:8, Забор из хлопкового дерева
Forestry:fences:9, Забор из мирта
Forestry:fences:10, Забор из красного дерева
Forestry:fences:11, Забор из бальзы
Forestry:fences:12, Забор из ивы
Forestry:fences:13, Забор из орехового дерева
Forestry:fences:14, Забор из гринхарта
Forestry:fences:15, Забор из вишнёвого дерева
Forestry:fences:16, Забор из гибискуса
Forestry:fences:17, Забор из тополя
Forestry:fences:18, Забор из пальмы
Forestry:fences:19, Забор из дынного дерева
Forestry:fences:20, Забор из сосны
Forestry:fences:21, Забор из сливового дерева
Forestry:fences:22, Забор из клёна
Forestry:fences:23, Забор из цитрусового дерева
Forestry:fences:24, Забор из гигантской секвойи
Forestry:fences:25, Забор из муравьиного дерева
Forestry:fences:26, Забор из падука
Forestry:fences:27, Забор из кокоболо
Forestry:fences:28, Забор из зебрано
Forestry:stairs:0, Ступеньки из лиственницы
Forestry:stairs:1, Ступеньки из тикового дерева
Forestry:stairs:2, Ступеньки из акации
Forestry:stairs:3, Ступеньки из липы
Forestry:stairs:4, Ступеньки из каштана
Forestry:stairs:5, Ступеньки из дерева Венге
Forestry:stairs:6, Ступеньки из баобаба
Forestry:stairs:7, Ступеньки из секвойи
Forestry:stairs:8, Ступеньки из хлопкового дерева
Forestry:stairs:9, Ступеньки из мирта
Forestry:stairs:10, Ступеньки из красного дерева
Forestry:stairs:11, Ступеньки из бальзы
Forestry:stairs:12, Ступеньки из ивы
Forestry:stairs:13, Ступеньки из орехового дерева
Forestry:stairs:14, Ступеньки из гринхарта
Forestry:stairs:15, Ступеньки из вишнёвого дерева
Forestry:stairs:16, Ступеньки из гибискуса
Forestry:stairs:17, Ступеньки из тополя
Forestry:stairs:18, Ступеньки из пальмы
Forestry:stairs:19, Ступеньки из дынного дерева
Forestry:stairs:20, Ступеньки из сосны
Forestry:stairs:21, Ступеньки из сливового дерева
Forestry:stairs:22, Ступеньки из клёна
Forestry:stairs:23, Ступеньки из цитрусового дерева
Forestry:stairs:24, Ступеньки из гигантской секвойи
Forestry:stairs:25, Ступеньки из муравьиного дерева
Forestry:stairs:26, Ступеньки из падука
Forestry:stairs:27, Ступеньки из кокоболо
Forestry:stairs:28, Ступеньки из зебрано
Forestry:logsFireproof:0, Древесина лиственницы (Огнестойкость)
Forestry:logsFireproof:1, Древесина тикового дерева (Огнестойкость)
Forestry:logsFireproof:2, Древесина акации (Огнестойкость)
Forestry:logsFireproof:3, Древесина липы (Огнестойкость)
Forestry:logsFireproof:4, Древесина каштана (Огнестойкость)
Forestry:logsFireproof:5, Древесина дерева Венге (Огнестойкость)
Forestry:logsFireproof:6, Древесина баобаба (Огнестойкость)
Forestry:logsFireproof:7, Древесина секвойи (Огнестойкость)
Forestry:logsFireproof:8, Древесина хлопкового дерева (Огнестойкость)
Forestry:logsFireproof:9, Древесина мирта (Огнестойкость)
Forestry:logsFireproof:10, Древесина красного дерева (Огнестойкость)
Forestry:logsFireproof:11, Древесина бальзы (Огнестойкость)
Forestry:logsFireproof:12, Древесина ивы (Огнестойкость)
Forestry:logsFireproof:13, Древесина орехового дерева (Огнестойкость)
Forestry:logsFireproof:14, Древесина гринхарта (Огнестойкость)
Forestry:logsFireproof:15, Древесина вишнёвого дерева (Огнестойкость)
Forestry:logsFireproof:16, Древесина гибискуса (Огнестойкость)
Forestry:logsFireproof:17, Древесина тополя (Огнестойкость)
Forestry:logsFireproof:18, Древесина пальмы (Огнестойкость)
Forestry:logsFireproof:19, Древесина дынного дерева (Огнестойкость)
Forestry:logsFireproof:20, Древесина сосны (Огнестойкость)
Forestry:logsFireproof:21, Древесина сливового дерева (Огнестойкость)
Forestry:logsFireproof:22, Древесина клёна (Огнестойкость)
Forestry:logsFireproof:23, Древесина цитрусового дерева (Огнестойкость)
Forestry:logsFireproof:24, Древесина гигантской секвойи (Огнестойкость)
Forestry:logsFireproof:25, Древесина муравьиного дерева (Огнестойкость)
Forestry:logsFireproof:26, Древесина падука (Огнестойкость)
Forestry:logsFireproof:27, Древесина кокоболо (Огнестойкость)
Forestry:logsFireproof:28, Древесина зебрано (Огнестойкость)
Forestry:planksFireproof:0, Доски из лиственницы (Огнестойкость)
Forestry:planksFireproof:1, Доски из тикового дерева (Огнестойкость)
Forestry:planksFireproof:2, Доски из акации (Огнестойкость)
Forestry:planksFireproof:3, Доски из липы (Огнестойкость)
Forestry:planksFireproof:4, Доски из каштана (Огнестойкость)
Forestry:planksFireproof:5, Доски из дерева Венге (Огнестойкость)
Forestry:planksFireproof:6, Доски из баобаба (Огнестойкость)
Forestry:planksFireproof:7, Доски из секвойи (Огнестойкость)
Forestry:planksFireproof:8, Доски из хлопкового дерева (Огнестойкость)
Forestry:planksFireproof:9, Доски из мирта (Огнестойкость)
Forestry:planksFireproof:10, Доски из красного дерева (Огнестойкость)
Forestry:planksFireproof:11, Доски из бальзы (Огнестойкость)
Forestry:planksFireproof:12, Доски из ивы (Огнестойкость)
Forestry:planksFireproof:13, Доски из орехового дерева (Огнестойкость)
Forestry:planksFireproof:14, Доски из гринхарта (Огнестойкость)
Forestry:planksFireproof:15, Доски из вишнёвого дерева (Огнестойкость)
Forestry:planksFireproof:16, Доски из гибискуса (Огнестойкость)
Forestry:planksFireproof:17, Доски из тополя (Огнестойкость)
Forestry:planksFireproof:18, Доски из пальмы (Огнестойкость)
Forestry:planksFireproof:19, Доски из дынного дерева (Огнестойкость)
Forestry:planksFireproof:20, Доски из сосны (Огнестойкость)
Forestry:planksFireproof:21, Доски из сливового дерева (Огнестойкость)
Forestry:planksFireproof:22, Доски из клёна (Огнестойкость)
Forestry:planksFireproof:23, Доски из цитрусового дерева (Огнестойкость)
Forestry:planksFireproof:24, Доски из гигантской секвойи (Огнестойкость)
Forestry:planksFireproof:25, Доски из муравьиного дерева (Огнестойкость)
Forestry:planksFireproof:26, Доски из падука (Огнестойкость)
Forestry:planksFireproof:27, Доски из кокоболо (Огнестойкость)
Forestry:planksFireproof:28, Доски из зебрано (Огнестойкость)
Forestry:slabsFireproof:0, Плита из лиственницы (Огнестойкость)
Forestry:slabsFireproof:1, Плита из тикового дерева (Огнестойкость)
Forestry:slabsFireproof:2, Плита из акации (Огнестойкость)
Forestry:slabsFireproof:3, Плита из липы (Огнестойкость)
Forestry:slabsFireproof:4, Плита из каштана (Огнестойкость)
Forestry:slabsFireproof:5, Плита из дерева Венге (Огнестойкость)
Forestry:slabsFireproof:6, Плита из баобаба (Огнестойкость)
Forestry:slabsFireproof:7, Плита из секвойи (Огнестойкость)
Forestry:slabsFireproof:8, Плита из хлопкового дерева (Огнестойкость)
Forestry:slabsFireproof:9, Плита из мирта (Огнестойкость)
Forestry:slabsFireproof:10, Плита из красного дерева (Огнестойкость)
Forestry:slabsFireproof:11, Плита из бальзы (Огнестойкость)
Forestry:slabsFireproof:12, Плита из ивы (Огнестойкость)
Forestry:slabsFireproof:13, Плита из орехового дерева (Огнестойкость)
Forestry:slabsFireproof:14, Плита из гринхарта (Огнестойкость)
Forestry:slabsFireproof:15, Плита из вишнёвого дерева (Огнестойкость)
Forestry:slabsFireproof:16, Плита из гибискуса (Огнестойкость)
Forestry:slabsFireproof:17, Плита из тополя (Огнестойкость)
Forestry:slabsFireproof:18, Плита из пальмы (Огнестойкость)
Forestry:slabsFireproof:19, Плита из дынного дерева (Огнестойкость)
Forestry:slabsFireproof:20, Плита из сосны (Огнестойкость)
Forestry:slabsFireproof:21, Плита из сливового дерева (Огнестойкость)
Forestry:slabsFireproof:22, Плита из клёна (Огнестойкость)
Forestry:slabsFireproof:23, Плита из цитрусового дерева (Огнестойкость)
Forestry:slabsFireproof:24, Плита из гигантской секвойи (Огнестойкость)
Forestry:slabsFireproof:25, Плита из муравьиного дерева (Огнестойкость)
Forestry:slabsFireproof:26, Плита из падука (Огнестойкость)
Forestry:slabsFireproof:27, Плита из кокоболо (Огнестойкость)
Forestry:slabsFireproof:28, Плита из зебрано (Огнестойкость)
Forestry:fencesFireproof:0, Забор из лиственницы (Огнестойкость)
Forestry:fencesFireproof:1, Забор из тикового дерева (Огнестойкость)
Forestry:fencesFireproof:2, Забор из акации (Огнестойкость)
Forestry:fencesFireproof:3, Забор из липы (Огнестойкость)
Forestry:fencesFireproof:4, Забор из каштана (Огнестойкость)
Forestry:fencesFireproof:5, Забор из дерева Венге (Огнестойкость)
Forestry:fencesFireproof:6, Забор из баобаба (Огнестойкость)
Forestry:fencesFireproof:7, Забор из секвойи (Огнестойкость)
Forestry:fencesFireproof:8, Забор из хлопкового дерева (Огнестойкость)
Forestry:fencesFireproof:9, Забор из мирта (Огнестойкость)
Forestry:fencesFireproof:10, Забор из красного дерева (Огнестойкость)
Forestry:fencesFireproof:11, Забор из бальзы (Огнестойкость)
Forestry:fencesFireproof:12, Забор из ивы (Огнестойкость)
Forestry:fencesFireproof:13, Забор из орехового дерева (Огнестойкость)
Forestry:fencesFireproof:14, Забор из гринхарта (Огнестойкость)
Forestry:fencesFireproof:15, Забор из вишнёвого дерева (Огнестойкость)
Forestry:fencesFireproof:16, Забор из гибискуса (Огнестойкость)
Forestry:fencesFireproof:17, Забор из тополя (Огнестойкость)
Forestry:fencesFireproof:18, Забор из пальмы (Огнестойкость)
Forestry:fencesFireproof:19, Забор из дынного дерева (Огнестойкость)
Forestry:fencesFireproof:20, Забор из сосны (Огнестойкость)
Forestry:fencesFireproof:21, Забор из сливового дерева (Огнестойкость)
Forestry:fencesFireproof:22, Забор из клёна (Огнестойкость)
Forestry:fencesFireproof:23, Забор из цитрусового дерева (Огнестойкость)
Forestry:fencesFireproof:24, Забор из гигантской секвойи (Огнестойкость)
Forestry:fencesFireproof:25, Забор из муравьиного дерева (Огнестойкость)
Forestry:fencesFireproof:26, Забор из падука (Огнестойкость)
Forestry:fencesFireproof:27, Забор из кокоболо (Огнестойкость)
Forestry:fencesFireproof:28, Забор из зебрано (Огнестойкость)
Forestry:stairsFireproof:0, Ступеньки из лиственницы (Огнестойкость)
Forestry:stairsFireproof:1, Ступеньки из тикового дерева (Огнестойкость)
Forestry:stairsFireproof:2, Ступеньки из акации (Огнестойкость)
Forestry:stairsFireproof:3, Ступеньки из липы (Огнестойкость)
Forestry:stairsFireproof:4, Ступеньки из каштана (Огнестойкость)
Forestry:stairsFireproof:5, Ступеньки из дерева Венге (Огнестойкость)
Forestry:stairsFireproof:6, Ступеньки из баобаба (Огнестойкость)
Forestry:stairsFireproof:7, Ступеньки из секвойи (Огнестойкость)
Forestry:stairsFireproof:8, Ступеньки из хлопкового дерева (Огнестойкость)
Forestry:stairsFireproof:9, Ступеньки из мирта (Огнестойкость)
Forestry:stairsFireproof:10, Ступеньки из красного дерева (Огнестойкость)
Forestry:stairsFireproof:11, Ступеньки из бальзы (Огнестойкость)
Forestry:stairsFireproof:12, Ступеньки из ивы (Огнестойкость)
Forestry:stairsFireproof:13, Ступеньки из орехового дерева (Огнестойкость)
Forestry:stairsFireproof:14, Ступеньки из гринхарта (Огнестойкость)
Forestry:stairsFireproof:15, Ступеньки из вишнёвого дерева (Огнестойкость)
Forestry:stairsFireproof:16, Ступеньки из гибискуса (Огнестойкость)
Forestry:stairsFireproof:17, Ступеньки из тополя (Огнестойкость)
Forestry:stairsFireproof:18, Ступеньки из пальмы (Огнестойкость)
Forestry:stairsFireproof:19, Ступеньки из дынного дерева (Огнестойкость)
Forestry:stairsFireproof:20, Ступеньки из сосны (Огнестойкость)
Forestry:stairsFireproof:21, Ступеньки из сливового дерева (Огнестойкость)
Forestry:stairsFireproof:22, Ступеньки из клёна (Огнестойкость)
Forestry:stairsFireproof:23, Ступеньки из цитрусового дерева (Огнестойкость)
Forestry:stairsFireproof:24, Ступеньки из гигантской секвойи (Огнестойкость)
Forestry:stairsFireproof:25, Ступеньки из муравьиного дерева (Огнестойкость)
Forestry:stairsFireproof:26, Ступеньки из падука (Огнестойкость)
Forestry:stairsFireproof:27, Ступеньки из кокоболо (Огнестойкость)
Forestry:stairsFireproof:28, Ступеньки из зебрано (Огнестойкость)
Forestry:saplingGE:0, Саженец
Forestry:pods:0, Стручок
Forestry:arboriculture:0, Сундук лесовода
Forestry:engine:1, Торфяной двигатель
Forestry:engine:2, Биогазовый двигатель
Forestry:engine:4, Заводной двигатель
Forestry:factory:0, Разливочный механизм
Forestry:factory:1, Плотник
Forestry:factory:2, Центрифуга
Forestry:factory:3, Бродильный аппарат
Forestry:factory:4, Увлажнитель
Forestry:factory:5, Соковыжималка
Forestry:factory:6, Дистиллятор
Forestry:factory:7, Вызыватель дождя
Forestry:factory2:0, Электроламповый завод
Forestry:factory2:1, Сборщик дождя
Forestry:factory2:2, Рабочий стол
Forestry:mushroom:0, Гриб
Forestry:mushroom:1, Гриб
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:lepidopterology:0, Сундук лепидоптеролога
Forestry:mail:0, Почтовый ящик
Forestry:mail:1, Торговая станция
Forestry:mail:2, Сборщик марок
EnderIO:blockStirlingGenerator, Генератор Стирлинга
EnderIO:blockCombustionGenerator, Генератор внутреннего сгорания
EnderIO:blockZombieGenerator, Зомби генератор
EnderIO:blockFrankenzombieGenerator, Генератор Frank'N'Zombie
EnderIO:blockEnderGenerator, Генератор Края
EnderIO:blockSolarPanel:0, Фотовольтовая ячейка
EnderIO:blockSolarPanel:1, Продвинутая фотовольтовая ячейка
EnderIO:blockSolarPanel:2, Вибрирующая фотовольтовая панель
EnderIO:blockSagMill, Дробитель
EnderIO:blockAlloySmelter, Завод сплавов
EnderIO:blockCapBank:0, Творческий блок конденсаторов
EnderIO:blockCapBank:1, Основной блок конденсаторов
EnderIO:blockCapBank:1, Основной блок конденсаторов
EnderIO:blockCapBank:2, Блок конденсаторов
EnderIO:blockCapBank:2, Блок конденсаторов
EnderIO:blockCapBank:3, Вибрирующий блок конденсаторов
EnderIO:blockCapBank:3, Вибрирующий блок конденсаторов
EnderIO:blockPainter, Покрасочный механизм
EnderIO:blockPaintedFence:0, Покрашенный забор
EnderIO:blockPaintedFenceGate:0, Покрашенная калитка
EnderIO:blockPaintedWall:0, Покрашенная стена
EnderIO:blockPaintedStair:0, Покрашенные ступени
EnderIO:blockPaintedSlab:0, Покрашенная плита
EnderIO:blockPaintedDoubleSlab:0, Покрашенная плита
EnderIO:blockCrafter, Создатель
EnderIO:blockPaintedGlowstone:0, Покрашенный светящийся камень
EnderIO:blockPaintedCarpet:0, Покрашенный ковёр
EnderIO:blockVat, Чан
EnderIO:blockPowerMonitor, Индикатор мощности
EnderIO:blockFarmStation, Фермерская станция
EnderIO:blockWirelessCharger, Беспроводной зарядник
EnderIO:blockHyperCube, Пространственный приёмопередатчик (Устаревший)
EnderIO:blockTank:0, Жидкостный резервуар
EnderIO:blockTank:1, Жидкостный резервуар под давлением
EnderIO:blockReservoir, Резервуар
EnderIO:blockVacuumChest, Вакуумный сундук
EnderIO:blockTransceiver, Пространственный приёмопередатчик
EnderIO:blockBuffer:0, Предметный буфер
EnderIO:blockBuffer:1, Энергобуфер
EnderIO:blockBuffer:2, Универсальный буфер
EnderIO:blockBuffer:3, Творческий буфер
EnderIO:blockInventoryPanel, Инвентарная панель
EnderIO:blockEnderIo, Интерфейс Края
EnderIO:blockTravelAnchor, Якорь путешествия
EnderIO:blockTelePad, Блок телепорта
EnderIO:blockSliceAndSplice, «Отрубатель и сращиватель»
EnderIO:blockSoulBinder, Связыватель душ
EnderIO:blockPoweredSpawner, Электрический спаунер
EnderIO:blockKillerJoe, Киллер Джо
EnderIO:blockAttractor, Притягивающий обелиск
EnderIO:blockSpawnGuard, Обелиск отвращения
EnderIO:blockExperienceObelisk, Обелиск опыта
EnderIO:blockWeatherObelisk, Погодный обелиск
EnderIO:blockInhibitorObelisk, tile.blockInhibitorObelisk.name
EnderIO:blockEnchanter, Зачарователь
EnderIO:blockDarkSteelPressurePlate:0, Тёмная нажимная пластина
EnderIO:blockDarkSteelPressurePlate:1, Тёмная нажимная пластина
EnderIO:blockDarkSteelAnvil:0, Наковальня из тёмной стали
EnderIO:blockDarkSteelAnvil:1, Повреждённая наковальня из тёмной стали
EnderIO:blockDarkSteelAnvil:2, Сильно повреждённая наковальня из тёмной стали
EnderIO:blockDarkSteelLadder, Лестница из тёмной стали
EnderIO:blockElectricLight:0, Электрический светильник
EnderIO:blockElectricLight:1, Электрический светильник (Перевёрнутый)
EnderIO:blockElectricLight:2, Светильник
EnderIO:blockElectricLight:3, Светильник (Перевёрнутый)
EnderIO:blockElectricLight:4, Беспроводной электрический светильник
EnderIO:blockElectricLight:5, Беспроводной электрический светильник (Перевёрнутый)
EnderIO:blockLightNode, Light Node
EnderIO:blockReinforcedObsidian, Укреплённый обсидиан
EnderIO:blockFusedQuartz:0, Расплавленный кварц
EnderIO:blockFusedQuartz:1, Почти прозрачное стекло
EnderIO:blockFusedQuartz:2, Освещённый расплавленный кварц
EnderIO:blockFusedQuartz:3, Освещённое прозрачное стекло
EnderIO:blockFusedQuartz:4, Тёмный расплавленный кварц
EnderIO:blockFusedQuartz:5, Тёмное прозрачное стекло
EnderIO:blockEnderRail, Рельс Края
EnderIO:blockConduitBundle, Коннектор для труб
EnderIO:blockConduitFacade, Conduit Facade
EnderIO:blockEndermanSkull:0, Голова странника Края
EnderIO:blockEndermanSkull:2, Измученная голова странника Края
EnderIO:blockNutrient_distillation, Питательный дистиллят
EnderIO:blockHootch, Самогон
EnderIO:blockRocket_fuel, Ракетное топливо
EnderIO:blockFire_water, Огненная вода
EnderIO:blockLiquid_sunshine, Жидкий солнечный свет
EnderIO:blockCloud_seed, Облачное семя
EnderIO:blockCloud_seed_concentrated, Концентрированное облачное семя
EnderIO:blockEnder_distillation, Роса пустоты
EnderIO:blockVapor_of_levity, Пар лёгкости
EnderIO:blockIngotStorage:0, Блок наэлектризованной стали
EnderIO:blockIngotStorage:1, Блок энергетического сплава
EnderIO:blockIngotStorage:2, Блок вибрирующего сплава
